iso3,country_name,health_exp_per_capita,theoretical_need,current,optimal,change,change_pct
AFG,Afghanistan,80.6516037,1.1670909957671116,80.6516037,96.78192444,16.130320740000002,20.000000000000004
BEN,Benin,33.88216782,1.8787853560339007,33.88216782,40.658601384,6.776433564000001,20.000000000000004
GRD,Grenada,521.23730469,-0.4101047278078704,521.23730469,625.484765628,104.24746093800002,20.000000000000004
IDN,Indonesia,127.44384766,0.06525669639863008,127.44384766,152.932617192,25.488769532000006,20.000000000000004
CIV,Côte d'Ivoire,86.15213013,1.8138410059854637,86.15213013,103.382556156,17.230426026000004,20.000000000000004
LCA,St. Lucia,644.80279541,-0.28503896519875965,644.80279541,773.7633544920001,128.96055908200003,20.000000000000004
MUS,Mauritius,590.93572998,-0.403387842254723,590.93572998,709.122875976,118.18714599600003,20.000000000000004
BWA,Botswana,477.83258057,0.8588702661859673,477.83258057,573.399096684,95.56651611400002,20.000000000000004
PNG,Papua New Guinea,81.11356354,0.7313856688752244,81.11356354,97.336276248,16.222712708000003,20.000000000000004
STP,São Tomé and Principe,180.3336792,-0.02356522824583858,180.3336792,216.40041504,36.06673584000001,20.000000000000004
SWZ,Eswatini,283.88345337,1.4955111371029595,283.88345337,340.660144044,56.77669067400001,20.000000000000004
TCD,Chad,40.17007446,2.6606042560274945,40.17007446,48.204089352000004,8.034014892000002,20.000000000000004
PSE,West Bank and Gaza,350.63812256,-0.46978059684205103,350.63812256,420.765747072,70.12762451200001,20.000000000000004
TUV,Tuvalu,1084.66955566,0.07682628386124568,1084.66955566,1301.603466792,216.93391113200005,20.000000000000004
TKM,Turkmenistan,579.15454102,0.32042894207591466,579.15454102,694.985449224,115.83090820400002,20.000000000000004
