variable,coef,p_value
const,50.051420176508316,0.0014013268087948306
log_gdp_per_capita,1.879206349580285,0.0028545129333212285
health_exp_pct_gdp,0.2915957093428106,0.12938791198713845
physicians_per_1000,-0.0939680880961374,0.8195962808320211
basic_water_pct,-0.03615250855002271,0.6293734719233086
basic_sanitation_pct,0.024952555896105472,0.5748588837190289
communicable_share,-15.017421662969463,0.3551405879739683
ncd_share,10.97535215804284,0.4694023330176831
